,author,published_at,updated_at,like_count,text,sentimiento
68,@LuisSanchez-cf9tk,2024-04-26T01:44:02Z,2024-04-26T01:44:02Z,2,President poopy pants 😂😂😂😂,0.0
69,@ronaldreid5762,2024-04-26T00:36:33Z,2024-04-26T00:36:33Z,2,I hope they lock him  &quot; under &quot; the jail....,0.4404
70,@silviaweinberg9622,2024-04-25T23:42:11Z,2024-04-25T23:42:11Z,0,We love you senor Trump  bendiciones,0.6369
71,@MegaTonyng,2024-04-25T23:04:37Z,2024-04-25T23:04:37Z,1,Innocent man doesn&#39;t need Presidential immunity 😂,0.34
72,@shalomjosh109,2024-04-25T11:02:16Z,2024-04-25T11:02:16Z,0,May God keep him,0.2732
73,@margie8287,2024-04-25T06:24:01Z,2024-04-25T06:24:01Z,0,Good to see this! 💗,0.4926
74,@davidagilbert4230,2024-04-25T05:56:26Z,2024-04-25T05:56:26Z,1,NAZI FASCISTS,-0.2023
75,@davidagilbert4230,2024-04-25T05:56:05Z,2024-04-25T05:56:05Z,1,TRAITOR FASCISTS,-0.2023
76,@robertnanez129,2024-04-25T03:39:15Z,2024-04-25T03:39:15Z,0,Make sure to buy his Bible,0.3182
77,@ADAMSIVES,2024-04-24T20:23:06Z,2024-04-24T20:23:06Z,1,Wow. Both of his supporters were there,0.7717
78,@kmcrae6687,2024-04-24T16:58:46Z,2024-04-24T16:58:46Z,0,God bless President Donald Trump. 🙏❤,0.5994
79,@margieest7424,2024-04-24T15:55:53Z,2024-04-24T15:55:53Z,2,Biden for 2024 an admiral respect able human being.,0.6597
80,@margieest7424,2024-04-24T15:54:55Z,2024-04-24T15:54:55Z,1,Only 4 supporting clowns 😂😂😂😂😂,0.4404
81,@charinarivera8405,2024-04-24T02:21:19Z,2024-04-24T02:21:19Z,1,Prison bound LOL,0.0601
82,@pamstitely2863,2024-04-23T23:35:51Z,2024-04-23T23:35:51Z,0,We and support you our President Trump.Sending Prayers with God’s Blessings for you and your family,0.7351
83,@BradleyBlackwood,2024-04-23T19:36:58Z,2024-04-23T19:36:58Z,1,Off to court we go!!,0.0
84,@maryryan8568,2024-04-23T18:02:01Z,2024-04-23T18:02:01Z,0,Love my president!,0.6696
85,@user-vj8vc3xx2t,2024-04-23T10:36:29Z,2024-04-23T10:36:29Z,0,We love you. All the way from across the pond England,0.6369
86,@terrygotwhatheheaskedforfo7789,2024-04-23T04:08:46Z,2024-04-23T04:08:46Z,2,Trump is a legend and i love Him and He Never Gives Up On US because He Loves US and All Americans Greatest President Ever 🙏🏿❤️🙏🏿💯,0.9201
87,@Fat12219,2024-04-22T23:01:45Z,2024-04-22T23:01:45Z,0,Trump  24 🎉🎉🎉,0.0
88,@DannyMarshall-gb6nh,2024-04-22T22:37:58Z,2024-04-22T22:37:58Z,0,"Truly, the walk of shame. Think about this, the entire world is laughing at Trump. By the way, I am too.",0.4588
89,@frankierene871,2024-04-22T16:30:48Z,2024-04-22T16:30:48Z,0,Trump 2024🎉🎉🎉,0.0
90,@dkhnova,2024-04-22T03:06:54Z,2024-04-22T03:06:54Z,0,Worst president in our history.,-0.6249
91,@caesarnunez4233,2024-04-22T01:01:37Z,2024-04-22T01:01:37Z,0,"Go Trump 2024.FJB and his administration, VOTE Trump",0.0
92,@user-hs7kn3ng2z,2024-04-21T22:49:55Z,2024-04-21T22:49:55Z,1,"Hey, did you know that US spells us? I learned that from Donnie Twump!",0.0
93,@josephmurdock8365,2024-04-21T16:10:59Z,2024-04-21T16:10:59Z,0,Trump for prison 2024!!,-0.5972
94,@Heyhi-vr5eh,2024-04-21T14:19:31Z,2024-04-21T14:19:31Z,0,Oh God,0.2732
95,@anita2096,2024-04-20T22:19:05Z,2024-04-20T22:19:05Z,8,He got 10 paid for actors outside screaming we love you. What a joke.😂😂😂😂😂😂😂😂😂,0.3818
96,@cardinalsfan8182,2024-04-20T21:50:26Z,2024-04-20T21:50:26Z,0,Gassy and Dozy Don—quit farting and sleeping in the courtroom numbnut!!,0.0
97,@kevinchang6289,2024-04-20T21:04:24Z,2024-04-20T21:04:24Z,0,I will vote Trump again,0.0
98,@thomasmerkelbach6875,2024-04-20T16:44:16Z,2024-04-20T16:44:16Z,0,Noch so ein Welt Verbrecher,0.0
99,@eddycastro-ti6fn,2024-04-20T13:02:46Z,2024-04-20T13:02:46Z,0,Trump has no swag he walks like a DUCK 🦆,0.0772
100,@renegomez3061,2024-04-20T12:09:09Z,2024-04-20T12:09:09Z,0,Massive crowd 😂😂😂,0.0
101,@fredcampbell9744,2024-04-20T11:39:58Z,2024-04-20T11:39:58Z,0,Putin’s puppet 😖,0.0
102,@colbyrussell593,2024-04-20T03:54:30Z,2024-04-20T03:54:30Z,0,Trump2024,0.0
103,@colbyrussell593,2024-04-20T03:54:15Z,2024-04-20T03:54:15Z,0,Trump2024,0.0
104,@tylertanium7761,2024-04-20T02:31:14Z,2024-04-20T02:31:14Z,0,All 5 supporters eh<br>Pretty wild,0.4404
105,@user-db9dd4dc7l,2024-04-19T23:17:15Z,2024-04-19T23:17:15Z,0,Boo Boo what a loser,-0.5267
106,@carlosperezrodriguez3824,2024-04-19T17:18:42Z,2024-04-19T17:18:42Z,0,😊😊😊 TRUMP VIVA TRUMP SOY EUROPEO Y MI PRESIDENTE ES DONALD TRUMP GARANTIZADO EL 2024,0.0
107,@ryanszumowski8749,2024-04-19T17:07:36Z,2024-04-19T17:07:36Z,0,Imagine wasting your time to go wave to someone heading to one of his like 7 court cases. You fucking weirdos are in the dumbest cult 😂,-0.7089
108,@alanluber8842,2024-04-19T10:55:27Z,2024-04-19T10:55:27Z,0,Watching the world’s greatest CONARTEST.  Can’t wait for the guilty verdict.   The rep will be all upset and means less votes.,0.1027
109,@alanluber8842,2024-04-19T10:54:03Z,2024-04-19T10:54:03Z,0,The walk of shame.,-0.4767
110,@patsybling020,2024-04-19T08:59:36Z,2024-04-19T08:59:36Z,0,Lock him up,0.0
111,@cttile,2024-04-19T07:35:53Z,2024-04-19T07:35:53Z,0,"He is struggling just walking to the car. Guys a mess,",-0.6486
112,@Jacob-hl3gt,2024-04-19T07:14:18Z,2024-04-19T07:14:18Z,0,Love to see tTump in jail for 24-life!!💙💙💙💙💙💙💤💤💤💤💤💤,0.6988
113,@ka3de56,2024-04-19T06:01:33Z,2024-04-19T06:01:33Z,0,God bless President Trump.,0.5994
114,@christopherfasone4006,2024-04-19T01:24:45Z,2024-04-19T01:24:45Z,0,Walking with a Full diaper,0.0
115,@user-ls8er5zz6i,2024-04-19T01:23:04Z,2024-04-19T01:23:04Z,0,We love you  Trump <br>Thanks,0.6369
116,@nomad4k,2024-04-18T23:08:01Z,2024-04-18T23:08:01Z,0,Loved and respected by most of the free world. But hated in his own country. Weird time we live in. I wish him well.,0.4822
117,@tasha1626,2024-04-18T19:15:38Z,2024-04-18T19:15:38Z,0,Trump is trash 🤮🤮,0.0
118,@steve-175,2024-04-18T13:11:34Z,2024-04-18T13:11:34Z,0,"Now the street sweepers got to clean up all the B.S. They left behind. 😮😮😮 So, how are the Hitler/Trump thinkers doing today ???",0.5007
119,@helmutschmuckhelmut-4613,2024-04-18T10:46:44Z,2024-04-18T10:46:44Z,0,Arme USA..<br>Was ist aus Euch und Euren Idealen geworden?,0.0
120,@Brian1961-ep4bq,2024-04-17T22:24:40Z,2024-04-17T22:24:40Z,0,He is the president of the United States,0.4215
121,@Patrick-lq1yi,2024-04-17T20:46:18Z,2024-04-17T20:46:18Z,0,Hey Eric you like you need a manzier them teits look huge,0.5859
122,@danr2652,2024-04-17T20:42:13Z,2024-04-17T20:42:13Z,0,Cult.,0.0
123,@willpal777,2024-04-17T16:36:30Z,2024-04-17T16:36:30Z,0,Καυλιαρη,0.0
124,@JoseGonzalez-mc8hz,2024-04-17T10:50:48Z,2024-04-17T10:50:48Z,0,"🙏🇺🇲🦅, Trump 2024 🕊️💯🌎💪",0.0
125,@richardlevin9336,2024-04-17T07:07:12Z,2024-04-17T07:07:12Z,0,Go loser go!,-0.5707
126,@ercost60,2024-04-16T01:03:34Z,2024-04-16T01:03:34Z,0,Trump is smart. His supporters are fools.,0.34
127,@Lorenzo-hn1pr,2024-04-15T20:57:06Z,2024-04-15T20:57:06Z,0,Yet Biden can be bought by China and that&#39;s just fine. 🎉,0.2023
128,@debrabock6475,2024-04-15T15:32:04Z,2024-04-15T15:32:04Z,0,This man has indured such illegal and unwarranted persecution. So shameful.,-0.796
129,@reynaldomolina4356,2024-04-15T15:29:37Z,2024-04-15T15:29:37Z,0,Trump 2024,0.0
130,@lucysalazar9318,2024-04-15T00:15:56Z,2024-04-15T00:16:13Z,0,WOW LOOK AT OUR PRESIDENT HE IS SO SHARP ❤❤❤❤❤❤❤,0.6739
131,@ElementalDivinity,2024-04-14T19:44:23Z,2024-04-14T19:44:23Z,0,Trumps schedule is Rallys and court dates. Jeez. Let him Be.,0.0
132,@jameskraus844,2024-04-14T19:33:52Z,2024-04-14T19:33:52Z,0,Trump for president <br>Tulsi for VP 🇺🇲💯,0.0
133,@scottnkids,2024-04-14T18:46:44Z,2024-04-14T18:46:44Z,0,"First the courthouse, then the jailhouse.",0.0
134,@The00Dude,2024-04-14T13:36:26Z,2024-04-14T13:36:26Z,0,Cultists of the Orange Jesus!   Justice comes tomorrow!  FDT lets go Stormy,0.6103
135,@wmw0702,2024-04-14T09:53:36Z,2024-04-14T09:53:36Z,0,Trump for prison 2024!!! Thatthe only way to stop him from grifting from the poorest of the poor in America.,-0.9182
136,@kenfarzini6937,2024-04-14T04:30:56Z,2024-04-14T04:30:56Z,0,"He’s a convicted criminal, a con man and a sociopath",-0.5267
137,@allenhasenbuhler,2024-04-13T14:27:14Z,2024-04-13T14:27:14Z,5,My President the people’s President and the best President ever!!! He carries himself with dignity and respect and he gives us hope for our country!!! Trump 2024 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸💯🙏❤️,0.9333
138,@user-hn3vl1xp1h,2024-04-13T06:15:19Z,2024-04-13T06:15:19Z,3,Don&#39;t be scared haters 😂 TRUMP is coming  back24!!! ❤ we love the greatest!,0.6671
139,@richardacevedo8923,2024-04-13T04:16:48Z,2024-04-13T04:16:48Z,8,❤ TRUMP NOVEMBER 2024 BABY ❤,0.0
140,@patriciaaznavourian3014,2024-04-13T02:55:22Z,2024-04-13T02:55:22Z,0,Before heading  to prison😂😂😂,0.0
141,@miriamstevens,2024-04-13T00:39:42Z,2024-04-13T00:39:42Z,0,President Trump is the real deal.,0.0
142,@stevevalencia2450,2024-04-12T13:23:39Z,2024-04-12T13:23:39Z,0,"Lord go before him , shield  him Lord from the onslaughts of his enemies !I humbly ask this in Jesus name Amen",-0.5411
143,@lenellmarshall6595,2024-04-12T06:01:22Z,2024-04-12T06:01:22Z,0,It seems he wanted to stop and talk with his supporters!,0.2481
144,@gregkirby9059,2024-04-12T03:56:54Z,2024-04-12T03:56:54Z,0,BRO DON!,0.0
145,@davidmitchell8798,2024-04-12T03:23:15Z,2024-04-12T03:23:15Z,3,"Wherever Trump goes, people love him.",0.6369
146,@Lizzytan,2024-04-12T01:44:31Z,2024-04-12T01:44:31Z,0,Trump 2024 ❤,0.0
147,@lisabailey4512,2024-04-11T13:42:30Z,2024-04-11T13:42:30Z,0,Trump 2024. MAGA.  Let&#39;s Go Brandon,0.0
148,@Roberto-lg7jx,2024-04-11T09:58:02Z,2024-04-11T09:58:02Z,0,"Lol, have there been any guy with more lawsuits than your Trump in this world ?",0.228
149,@robertglissendorf9134,2024-04-11T04:41:24Z,2024-04-11T04:41:24Z,0,"Come on  BAM, BAM!!",0.0
150,@user-mt5bw1it4t,2024-04-11T02:57:16Z,2024-04-11T02:57:16Z,0,Trump 2024🇺🇸,0.0
151,@user-kg7fl3kn5r,2024-04-11T02:37:24Z,2024-04-11T02:37:24Z,0,Whos the booty in white <br>A ts?,0.0
152,@denisbuckley4352,2024-04-09T22:29:56Z,2024-04-09T22:29:56Z,0,God bless President Trump ❤,0.5994
153,@user-vb6zu5rw4u,2024-04-09T15:30:42Z,2024-04-09T15:30:42Z,0,Anyone else would be hiding in a cave crippled by the LawfareYETHE DRIVESON!!,-0.4184
154,@Syrorange,2024-04-09T02:19:20Z,2024-04-09T02:19:20Z,0,Think for yourselves sheep,0.0
155,@Syrorange,2024-04-09T02:18:53Z,2024-04-09T02:18:53Z,0,He is a grifter,0.0
156,@Syrorange,2024-04-09T02:18:38Z,2024-04-09T02:18:38Z,1,Give me a break,0.0
157,@michaelgonzalez7240,2024-04-09T01:08:45Z,2024-04-09T01:08:45Z,0,"He walks like he lost already. Trump prepare for being the first ex president to be guilty of a sex crime, Fraud, and tax cheat . Starting April 15 tax day.",-0.9169
158,@jessicamanzano2806,2024-04-08T22:56:06Z,2024-04-08T22:56:06Z,9,He’s full of courage and determination!!! Strong man he is blessed,0.9322
159,@gailconlon9507,2024-04-08T18:04:19Z,2024-04-08T18:04:19Z,0,THANK YOU PRESIDENT TRUMP for LOVING U.S. AMERICA!🎁💗for🇺🇸,0.8465
160,@mariaperez1414,2024-04-07T19:48:49Z,2024-04-07T19:48:49Z,0,Donald Trump Donald Trump Donald Trump  será nuestro presidente   👉,0.0
161,@rubygreby1473,2024-04-07T05:46:49Z,2024-04-07T05:46:49Z,0,❤❤❤🙏🙏🙏🇺🇲🇺🇲🇺🇲TRUMP2024,0.0
162,@NoTrump416,2024-04-06T14:27:37Z,2024-04-06T14:27:37Z,2,It’s called the perp walk.,0.0
163,@18waggie,2024-04-05T22:53:32Z,2024-04-05T22:53:32Z,0,I see the dim witted Trump lovers buying Truth  Social stock a company with no revenue wtf,-0.0772
164,@18waggie,2024-04-05T22:50:20Z,2024-04-05T22:50:20Z,1,Trump is the greatest!    (scam artist) of all time,0.6696
165,@user-rh5vn1tl2z,2024-04-04T15:42:06Z,2024-04-04T15:42:06Z,1,Trump has no dignity showing his face is a criminal a liars,-0.743
166,@user-rh5vn1tl2z,2024-04-04T15:41:35Z,2024-04-04T15:41:35Z,0,America is always great that&#39;s what makes trump Father immigrants to her,0.6249
167,@jimko9364,2024-04-02T20:51:48Z,2024-04-02T20:51:48Z,0,Trump is a blathering fool. Vote to keep him away from our democracy.,-0.4404
168,@ReadMachiavelli-gi3wk,2024-04-02T18:18:16Z,2024-04-02T18:18:16Z,0,"Eric: “Dad!! My breasts will be larger than Lara’s!  Will you love me more, then?”",0.7249
169,@ronaldferreria6364,2024-03-31T23:43:40Z,2024-03-31T23:43:40Z,0,I WILL VOTE FOR YOU SIR DONALD TRUMP. COME BACK AS PRESIDENT OF UNITED STATES. I LIVE IN CALIFORNIA STATES. DONALD TRUMP PRESIDENT 2024,0.5473
170,@WunArt-nq9xv,2024-03-31T22:57:22Z,2024-03-31T22:57:22Z,0,He’s a loser,-0.5267
171,@glenntett475,2024-03-31T20:11:36Z,2024-03-31T20:11:36Z,0,All Presidents get that support 😂😂😂😂,0.4019
172,@SalmanAhmed-jh7uy,2024-03-31T11:06:13Z,2024-03-31T11:06:13Z,0,We love you trump,0.6369
173,@georgieippolito9924,2024-03-30T13:21:08Z,2024-03-30T13:21:18Z,0,"he didn&#39;t greet supporters, he stood still then turned then waved to the judge",0.6369
174,@tydeshawn125,2024-03-29T07:01:28Z,2024-03-29T07:01:28Z,0,Great president damn 🎉,0.34
175,@user-ld5et1ih6t,2024-03-28T20:40:29Z,2024-03-28T20:40:29Z,0,"I can smell him from the middle  of  the CA Desert, Mr Stinky FDT",-0.3612
176,@LeonelHaydle,2024-03-28T19:27:47Z,2024-03-28T19:27:47Z,0,God bless president Donald Trump republican party and USA. In God we trust,0.9001
177,@faizalayoob7830,2024-03-28T13:07:26Z,2024-03-28T13:07:26Z,0,No war under Trump administration,-0.7269
178,@organizstylist7732,2024-03-28T02:50:35Z,2024-03-28T02:50:35Z,0,Thank you for traipsing off to your court date to try to get out of going to prison. We got this!! LOL,0.606
179,@sumansanthalmurmu4685,2024-03-27T16:15:09Z,2024-03-27T16:15:09Z,0,Tromp 2024,0.0
180,@SydRyan,2024-03-26T16:32:31Z,2024-03-26T16:32:31Z,0,Hes walking like he sh*t himself,0.3612
181,@sueguerrero5913,2024-03-26T11:15:22Z,2024-03-26T11:15:22Z,0,Miami county jail …,0.0
182,@DEMOCRACY-pd5nk,2024-03-25T14:34:09Z,2024-03-25T14:34:09Z,0,I just had my morning coffee so I’m gonna go take a nice healthy Trump!!!,0.7488
183,@zippidido,2024-03-24T23:28:28Z,2024-03-24T23:28:28Z,2,Bone spurs bothering him,-0.3818
184,@gary40rochy,2024-03-24T23:05:00Z,2024-03-24T23:05:00Z,0,Eddie abbow for president  2028 .,0.0
185,@drvpgvng,2024-03-22T20:46:31Z,2024-03-22T20:46:31Z,1,Wow eric knows where he is going unlike the entire Biden family that needs a chauffeur and walking handler like some fkn mutt of a dog,0.743
186,@getyamindright210,2024-03-21T23:29:06Z,2024-03-21T23:29:06Z,1,Worst president in u.s history,-0.6249
187,@kimm.1709,2024-03-21T23:22:48Z,2024-03-21T23:22:48Z,50,"He&#39;s fighting all this... for US!<br>Thank you, President Trump!!!❤",-0.5673
188,@walter6873,2024-03-20T03:18:46Z,2024-03-20T03:18:46Z,1,Trump for federal prison,-0.5106
